,symbol,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
0,AC ,4,6,10,4,154245,59600,2000,29.8,74827.55191104411,5,8,4050,612.5,0,0,0
1,AC ,6,9,15,6,193750,35850,1300,27.576923076923077,61789.58245529743,13,21,40100,98050.0,0,0,0
2,ACN,5,5,10,5,102175,27955,200,139.775,44202.64047542861,5,10,13200,25262.5,20575.0,19612.5,20575.0
3,ACN,6,9,15,6,134506,43150,250,172.6,54664.88704826893,8,7,9800,29937.5,0,0,0
4,ACS,4,6,10,4,22550,5000,500,10.0,8699.568954839084,4,2,1950,662.5,0,0,0
5,ACS,8,7,15,7,55036,29900,100,299.0,32661.409736874495,2,3,550,200.0,100.0,75.0,100.0
6,ADU,5,5,10,5,90050,30000,450,66.66666666666667,45886.19073316067,1,2,1800,25.0,0,0,0
7,ADU,4,11,15,4,65500,10000,500,20.0,20958.291915134687,3,2,12000,437.5,0,0,0
8,AL ,2,8,10,2,864612,202600,112,1808.9285714285713,361371.05936142703,32,15,118000,189075.0,0,0,0
9,AL ,6,9,15,6,943512,234900,100,2349.0,384290.6615362908,38,24,229900,455425.0,234487.5,227487.5,234487.5
10,ALL,6,4,10,4,450000,136000,2000,68.0,205111.72565214307,6,2,19800,1875.0,0,0,0
11,ALL,9,6,15,6,386600,125500,1000,125.5,160596.03222994023,31,12,92900,4712.5,0,0,0
12,ALX,9,1,10,1,27450,5100,100,51.0,10440.905133176913,1,1,1600,2200.0,0,0,0
13,ALX,8,7,15,7,48000,21600,100,216.0,24346.663015698887,6,5,6600,16987.5,10787.5,8387.5,11587.5
14,AMD,3,7,10,3,1360750,425350,200,2126.75,595630.1558014,67,24,337800,134175.0,0,0,0
15,AMD,5,10,15,5,2346555,744225,1000,744.225,943098.0551602256,33,29,171050,53943.75,46656.25,46656.25,46656.25
16,AMN,4,6,10,4,16919,6000,250,24.0,7822.835866870786,3,3,2319,7127.625,0,0,0
17,AMN,10,5,15,5,34000,6000,300,20.0,11750.53190285444,3,3,5300,1775.0,337.5,412.5,675.0
18,AMO,6,4,10,4,1243083,281500,2000,140.75,488690.75213779113,40,43,256125,173322.5,3093.75,3093.75,3093.75
19,AMO,9,6,15,6,959585,276250,1178,234.50764006791172,401880.75532550697,9,13,34948,9926.0,883.5,736.25,883.5
20,AR ,4,6,10,4,123600,56300,500,112.6,64815.89311272352,4,6,13600,18912.5,0,0,0
