,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
0,1800.0,10.0,100.0,250.0,18.0,18.0,36.0,18.0,3600.0,100.0,100.0,1.0,600.0,90.0,90.0,900.0,225904.93300919636,205829.1220411415,185138.37013931875,221426.4075519781
1,1800.0,10.0,1000.0,250.0,2.0,2.0,4.0,2.0,3600.0,1000.0,800.0,1.25,1811.0770276274834,87.0,87.0,870.0,223805.80386480887,208498.52650559926,208498.52650559926,208498.52650559926
2,1800.0,10.0,10000.0,250.0,1.0,1.0,2.0,1.0,3600.0,1800.0,1800.0,1.0,2545.584412271571,88.0,88.0,880.0,224144.47438720887,0.0,0.0,0.0
3,1800.0,10.0,100000.0,250.0,1.0,1.0,2.0,1.0,3600.0,1800.0,1800.0,1.0,2545.584412271571,90.0,90.0,900.0,226126.31850476796,0.0,0.0,0.0
4,1800.0,10.0,1000000.0,250.0,1.0,1.0,2.0,1.0,3600.0,1800.0,1800.0,1.0,2545.584412271571,97.0,97.0,970.0,246953.3458221545,0.0,0.0,0.0
5,1800.0,10.0,10.0,250.0,180.0,180.0,360.0,180.0,3600.0,10.0,10.0,1.0,189.73665961010275,92.0,92.0,920.0,242244.5612274733,168731.77549442963,109339.37992002605,211626.83563862296
6,1800.0,10.0,100.0,250.0,18.0,18.0,36.0,18.0,3600.0,100.0,100.0,1.0,600.0,89.0,89.0,890.0,225745.6897404584,154028.0953211233,100986.03522070753,198907.95162868814
7,1800.0,10.0,1000.0,250.0,2.0,2.0,4.0,2.0,3600.0,1000.0,800.0,1.25,1811.0770276274834,88.0,88.0,880.0,235120.8898890281,0.0,0.0,0.0
8,1800.0,10.0,10000.0,250.0,1.0,1.0,2.0,1.0,3600.0,1800.0,1800.0,1.0,2545.584412271571,91.0,91.0,910.0,234682.97727237002,0.0,0.0,0.0
9,1800.0,10.0,100000.0,250.0,1.0,1.0,2.0,1.0,3600.0,1800.0,1800.0,1.0,2545.584412271571,82.0,82.0,820.0,200965.1947042502,0.0,0.0,0.0
10,1800.0,10.0,1000000.0,250.0,1.0,1.0,2.0,1.0,3600.0,1800.0,1800.0,1.0,2545.584412271571,92.0,92.0,920.0,235829.38670031808,0.0,0.0,0.0
