,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
569,20000000,100,100000,250,200,200,400,200,40000000,100000,100000,1,2000000,99914,99914,9991400,2500820311,2473125835,2450677864,2500332267
570,22000000,100,100000,250,220,220,440,220,44000000,100000,100000,1,2097617.696,110260,110260,11026000,2756862491,2440227336,2169034925,2711979803
571,24000000,100,100000,250,240,240,480,240,48000000,100000,100000,1,2190890.23,120009,120009,12000900,3001019873,2797675049,2618194876,2983956019
572,26000000,100,100000,250,260,260,520,260,52000000,100000,100000,1,2280350.85,129834,129834,12983400,3245324026,3170539244,3105414793,3243079387
573,28000000,100,100000,250,280,280,560,280,56000000,100000,100000,1,2366431.913,139991,139991,13999100,3504429765,3227025568,2977175379,3476667879
574,30000000,100,100000,250,300,300,600,300,60000000,100000,100000,1,2449489.743,150070,150070,15007000,3753727799,3693525345,3642620928,3752468085
575,32000000,100,100000,250,320,320,640,320,64000000,100000,100000,1,2529822.128,160357,160357,16035700,4012832299,3906173124,3807159523,4009052597
576,34000000,100,100000,250,340,340,680,340,68000000,100000,100000,1,2607680.962,169928,169928,16992800,4253337352,4015867678,3796671216,4236574427
577,36000000,100,100000,250,360,360,720,360,72000000,100000,100000,1,2683281.573,179983,179983,17998300,4498792932,4452778178,4415690479,4498158283
578,38000000,100,100000,250,380,380,760,380,76000000,100000,100000,1,2756809.75,189990,189990,18999000,4745191912,4634025075,4528851906,4741723181
579,40000000,100,100000,250,400,400,800,400,80000000,100000,100000,1,2828427.125,200060,200060,20006000,5001900194,4766190572,4547958986,4987779735
580,2000000,100,100000,250,20,20,40,20,4000000,100000,100000,1,632455.532,10050,10050,1005000,251732333.5,161963304.1,108520871.6,213314742.9
581,4000000,100,100000,250,40,40,80,40,8000000,100000,100000,1,894427.191,20040,20040,2004000,502730544.2,315454047.3,207638836.3,422504876.3
582,6000000,100,100000,250,60,60,120,60,12000000,100000,100000,1,1095445.115,30030,30030,3003000,749655344.4,628186532.2,537133645.5,725961074.6
583,8000000,100,100000,250,80,80,160,80,16000000,100000,100000,1,1264911.064,39953,39953,3995300,996772614.4,857137316.6,745098282.6,972190038.6
584,10000000,100,100000,250,100,100,200,100,20000000,100000,100000,1,1414213.562,50106,50106,5010600,1250921443,1074603783,925404345.1,1219580452
585,12000000,100,100000,250,120,120,240,120,24000000,100000,100000,1,1549193.338,59927,59927,5992700,1500550090,1266100206,1081534349,1455939975
586,14000000,100,100000,250,140,140,280,140,28000000,100000,100000,1,1673320.053,69989,69989,6998900,1747314097,1534809972,1364154493,1716308974
587,16000000,100,100000,250,160,160,320,160,32000000,100000,100000,1,1788854.382,79880,79880,7988000,1998401917,1893290360,1799763479,1991221687
588,18000000,100,100000,250,180,180,360,180,36000000,100000,100000,1,1897366.596,90146,90146,9014600,2253456168,1915038945,1642073925,2191608123
589,20000000,100,100000,250,200,200,400,200,40000000,100000,100000,1,2000000,99873,99873,9987300,2504023402,2282185529,2087845786,2479703264
590,22000000,100,100000,250,220,220,440,220,44000000,100000,100000,1,2097617.696,109967,109967,10996700,2748230503,2735961601,2734261126,2748152337
591,24000000,100,100000,250,240,240,480,240,48000000,100000,100000,1,2190890.23,120189,120189,12018900,3005274664,2856234364,2721433608,2995784967
592,26000000,100,100000,250,260,260,520,260,52000000,100000,100000,1,2280350.85,129842,129842,12984200,3242080306,3106060191,2982657272,3234757244
593,28000000,100,100000,250,280,280,560,280,56000000,100000,100000,1,2366431.913,139666,139666,13966600,3492509606,3172683200,2895107963,3456814891
594,30000000,100,100000,250,300,300,600,300,60000000,100000,100000,1,2449489.743,149909,149909,14990900,3749554342,3588121035,3439426715,3740675535
