,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
54,800.0,10.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,39.0,39.0,390.0,95523.08989211213,87127.19911704239,87826.38711771506,94485.36083080787
55,800.0,10.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,38.0,38.0,380.0,85054.58902423846,0.0,0.0,0.0
56,800.0,10.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,37.0,37.0,370.0,96665.42405572315,0.0,0.0,0.0
57,800.0,10.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,40.0,40.0,400.0,94915.56839614536,0.0,0.0,0.0
58,800.0,10.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,44.0,44.0,440.0,111038.89555396908,0.0,0.0,0.0
59,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,40.0,40.0,400.0,103274.45057425564,99889.14899027049,98832.4325274272,103127.68738217442
60,800.0,10.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,42.0,42.0,420.0,99433.02072809456,48029.706281469014,27835.541190246997,69741.25514520692
61,800.0,10.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,38.0,38.0,380.0,101162.57238070306,0.0,0.0,0.0
62,800.0,10.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,39.0,39.0,390.0,83510.60832974716,0.0,0.0,0.0
63,800.0,10.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,36.0,36.0,360.0,91952.11490529656,0.0,0.0,0.0
64,800.0,10.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,41.0,41.0,410.0,103564.53781582162,0.0,0.0,0.0
65,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,43.0,43.0,430.0,115857.41935693027,96141.43979588775,65677.92047069603,108392.60430774956
66,800.0,10.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,39.0,39.0,390.0,84285.40025538622,83739.11561227447,83558.98970651475,84162.7325934791
67,800.0,10.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,42.0,42.0,420.0,100085.77404430654,0.0,0.0,0.0
68,800.0,10.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,43.0,43.0,430.0,104867.12823329444,0.0,0.0,0.0
69,800.0,10.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,43.0,43.0,430.0,99078.13487134135,0.0,0.0,0.0
70,800.0,10.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,37.0,37.0,370.0,92311.58058965072,0.0,0.0,0.0
71,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,35.0,35.0,350.0,86732.71356505601,59988.68207434716,42344.58000429956,74877.01902410002
72,800.0,10.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,43.0,43.0,430.0,118966.20373836643,88751.52326908917,60714.63675483852,104370.02164244147
73,800.0,10.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,43.0,43.0,430.0,112397.55772811864,0.0,0.0,0.0
74,800.0,10.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,42.0,42.0,420.0,113200.09952264256,0.0,0.0,0.0
75,800.0,10.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,40.0,40.0,400.0,105344.86009244568,0.0,0.0,0.0
76,800.0,10.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,36.0,36.0,360.0,82297.16437871268,0.0,0.0,0.0
77,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,43.0,43.0,430.0,103733.03166651202,98267.19256290646,88610.8223265658,102882.25405990415
78,800.0,10.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,41.0,41.0,410.0,111454.42087445289,81378.57773804825,60403.89710739828,101084.31060142284
79,800.0,10.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,43.0,43.0,430.0,99270.48535689322,0.0,0.0,0.0
80,800.0,10.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,41.0,41.0,410.0,111563.71491577243,0.0,0.0,0.0
81,800.0,10.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,36.0,36.0,360.0,79364.40089982428,0.0,0.0,0.0
82,800.0,10.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,39.0,39.0,390.0,95723.53813340535,0.0,0.0,0.0
