,symbol,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
0,AC ,498,502,1000,498,1331888,17500,100,175.0,68923.50101380516,96,99,198697,453601.75,418935.625,358797.75,440959.875
1,ACN,461,539,1000,461,1861714,26200,100,262.0,93981.62905589581,238,138,328485,884791.75,811088.125,674348.125,861427.0
2,ACS,716,284,1000,284,1178602,5000,100,50.0,51661.90298469463,126,136,147700,34942.75,27220.875,20700.0,30050.0
3,ADU,720,280,1000,280,8589650,40000,450,88.88888888888889,373397.63691003725,204,125,859900,26114.33500000002,0.0,0.0,0.0
4,AL ,496,504,1000,496,8058130,69100,100,691.0,398383.4963675077,345,147,2031124,3700064.5,2672270.75,1500684.5,3160116.0
5,ALL,634,366,1000,366,3755978,14500,100,145.0,149013.73401133198,125,142,638629,123979.625,101102.0,65054.625,101102.0
6,ALX,541,459,1000,459,1260100,10400,100,104.0,62500.0399999872,194,164,194100,440150.0,431915.625,407843.75,438875.0
7,AMD,493,507,1000,493,8635650,99900,100,999.0,528055.3088512603,171,171,1822025,2821975.0,2535893.75,2502581.25,2766106.25
8,AMN,314,686,1000,314,1158472,4500,100,45.0,45892.99802802166,127,190,209500,414296.0,388256.5,354549.25,395397.0
9,AMO,644,356,1000,356,6063233,25000,114,219.2982456140351,246052.04640685272,239,206,1378875,992258.625,963907.625,836211.75,976764.5
10,AR ,457,543,1000,457,3744603,25000,100,250.0,167445.867506487,251,111,572800,1191131.75,1049225.0,828831.0,1147006.0
11,ARX,594,406,1000,406,3827111,50000,100,500.0,189475.2137378396,97,115,391759,42629.875,41509.75,30467.25,41509.75
12,ATE,477,523,1000,477,1499881,6700,100,67.0,67084.54861590707,216,120,252860,157197.5,148118.75,123228.75,153348.75
13,AYD,463,537,1000,463,1650658,10000,100,100.0,72158.32189013268,296,166,377602,824531.25,583513.5,476925.75,678306.125
14,BA ,500,500,1000,500,3928179,50000,100,500.0,236257.14320841178,204,129,657073,1403009.5,1198002.0,1047065.75,1352371.5
15,BG ,458,542,1000,458,1941677,12500,100,125.0,94925.1831865496,261,153,320780,691220.0,604182.5,544355.0,663062.5
16,BMC,590,410,1000,410,1767607,10000,100,100.0,76711.39822086415,325,141,426100,252762.5,184931.25,121818.75,194500.0
17,BRT,719,281,1000,281,4726045,50000,100,500.0,234287.81346241635,124,163,342412,80244.125,74372.625,50715.875,75814.0
18,BZF,630,370,1000,370,3830918,50000,100,500.0,253992.1525401917,55,201,807250,299986.25,84907.5,73596.25,97531.25
19,CAL,761,239,1000,239,3285931,40000,100,400.0,197082.80440210912,116,100,506300,270718.75,199781.25,183165.625,245396.875
20,CL ,494,506,1000,494,3447935,16000,100,160.0,146114.3012610333,271,146,736700,2491450.0,2181637.5,2006775.0,2433450.0
21,CLE,468,532,1000,468,3224244,50000,100,500.0,158613.3489905563,207,224,653900,1071012.5,1019887.5,954412.5,1065737.5
22,CLF,483,517,1000,483,2645127,14500,100,145.0,122716.53852272725,275,178,674412,2953183.75,2906993.25,2806251.0,2942230.75
23,CMH,331,669,1000,331,4903761,53100,100,531.0,267555.80479406536,171,234,1098572,1472839.875,1049662.5,772086.875,1260041.625
24,CMI,560,440,1000,440,1968150,10000,100,100.0,89168.59032192895,198,193,526600,1168525.0,999475.0,961950.0,1133000.0
25,CMY,568,432,1000,432,4373670,30300,100,303.0,215651.56088004558,242,120,971724,1830511.125,1300865.625,932214.875,1610313.125
26,COA,622,378,1000,378,2071995,20000,100,200.0,113529.54128771948,149,149,279000,93450.0,59600.0,49012.5,71875.0
27,CP ,662,338,1000,338,4092785,26450,100,264.5,189313.58344028037,147,169,738780,634227.5,537546.25,392152.5,587102.5
28,CPC,485,515,1000,485,3444857,22800,100,228.0,147785.6458557461,253,183,756100,3435857.125,3056987.375,2764036.25,3337342.25
29,CPY,562,438,1000,438,2133886,14000,100,140.0,107627.72197719321,252,215,485600,658900.0,649112.5,530762.5,654425.0
30,CU ,357,643,1000,357,4786267,20000,100,200.0,201283.04305380522,212,125,595750,1922781.25,1752462.5,1592000.0,1878775.0
31,CUC,639,361,1000,361,1539800,5700,100,57.0,66163.13172757166,235,152,360800,267075.0,223725.0,123075.0,235475.0
32,CUE,544,456,1000,456,1793402,50000,100,500.0,144499.7349962968,38,89,285425,850571.25,768156.5,685644.75,815067.375
33,CYM,444,556,1000,444,4903401,32300,100,323.0,240668.6357691837,261,122,1089668,3205681.5,2023066.5,1064593.75,2385406.25
34,CYR,417,583,1000,417,2222829,20000,100,200.0,110570.19081560816,224,290,737550,4086250.25,4067925.75,3974406.5,4084868.0
35,DBD,586,414,1000,414,3844450,26500,100,265.0,210606.82384481278,300,169,1225325,2734712.5,2041324.375,1953581.25,2536190.0
36,DCN,491,509,1000,491,4671380,20000,100,200.0,246229.07851023608,306,148,748212,2236929.375,2035897.625,1974159.625,2186931.125
37,DI ,387,613,1000,387,8192533,99900,100,999.0,475610.41261835303,189,259,2061250,3347839.0,3162358.0,2398409.25,3252778.625
38,DLT,767,233,1000,233,4756700,30000,200,150.0,225604.57663797514,79,77,392300,22362.5,11528.125,8468.75,12281.25
39,DP ,480,520,1000,480,3521110,20000,100,200.0,161190.4181395408,286,130,547500,2224050.0,1559781.25,1207406.25,1715353.125
40,DSI,615,385,1000,385,5677572,31500,100,315.0,275820.26430267957,241,205,1168253,244395.875,128175.0,118275.0,188168.75
