,symbol,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
265,VRC,7,8,15,7,63050,35000,250,140.0,36345.32294532544,4,2,13500,14062.5,562.5,562.5,562.5
266,W  ,4,6,10,4,16700,5000,100,50.0,6946.221994724902,1,3,2700,2475.0,0,0,0
267,W  ,5,10,15,5,18298,3000,100,30.0,5966.707970061883,1,2,900,912.5,0,0,0
268,WAE,8,2,10,2,81200,28000,200,140.0,34249.671531271655,0,0,0,0.0,0,0,0
269,WAE,10,5,15,5,105700,20000,200,100.0,32623.4578179567,0,0,0,0.0,0,0,0
270,WBN,4,6,10,4,39500,20000,100,200.0,22295.06671889546,2,1,3000,0.0,0,0,0
271,WBN,7,8,15,7,77050,20000,500,40.0,31836.02519159702,3,6,28050,21493.75,1875.0,1125.0,1875.0
272,WCS,5,5,10,5,42100,10000,100,100.0,16171.27082204735,3,3,9000,3375.0,0,0,0
273,WCS,9,6,15,6,21965,8000,101,79.20792079207921,9494.413989288649,2,4,2400,762.5,50.0,50.0,50.0
274,WDG,8,2,10,2,38300,10000,200,50.0,15311.760186209814,1,2,5200,1875.0,0,0,0
275,WDG,8,7,15,7,47550,10000,200,50.0,17771.676904557993,0,0,0,0.0,0,0,0
276,WHX,4,6,10,4,32950,14950,500,29.9,16386.04589277108,2,1,4500,6062.5,562.5,562.5,562.5
277,WHX,6,9,15,6,31050,14950,100,149.5,15796.597734955461,6,1,5700,8337.5,0,0,0
278,WIN,4,6,10,4,27100,15400,100,154.0,16118.622769951531,2,1,2000,4500.0,2250.0,3000.0,3250.0
279,WIN,5,10,15,5,34700,15400,100,154.0,17130.382365843445,2,1,4000,9875.0,9375.0,8575.0,9375.0
280,XON,7,3,10,3,36400,10000,400,25.0,16113.969095167087,2,3,12400,31250.0,0,0,0
281,XON,8,7,15,7,64550,11700,100,117.0,22161.960653335707,2,6,12100,15350.0,0,0,0
282,Y  ,4,6,10,4,14016,5000,100,50.0,7321.525933847397,1,1,1488,4836.0,0,0,0
283,Y  ,9,6,15,6,6588,2200,100,22.0,2693.62061174175,1,3,464,766.0,276.25,276.25,357.5
284,ZIF,6,4,10,4,27442,10000,100,100.0,12004.6725902875,2,1,2000,0.0,0,0,0
285,ZIF,13,2,15,2,47700,11000,300,36.666666666666664,17651.345557775476,0,0,0,0.0,0,0,0
286,ZNT,8,2,10,2,19400,5000,100,50.0,8282.511696339463,1,1,5000,13125.0,0,0,0
287,ZNT,9,6,15,6,62500,25000,100,250.0,35914.481758755755,4,1,3500,1012.5,112.5,37.5,137.5
