,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
0,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,9.0,9.0,90.0,22178.643108922464,19916.378329653326,21963.92320388991,22130.091196430374
1,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,15.0,15.0,150.0,32691.780415844318,29556.446841633144,28446.335537553263,31723.916773046913
2,600.0,10.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,31.0,31.0,310.0,71489.78576199451,69737.56304038712,69622.97959834796,71489.78576199457
3,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,41.0,41.0,410.0,91571.48156158347,67037.94331004584,54425.41860835432,82489.0261745243
4,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,9.0,9.0,90.0,21391.40560123745,15688.744504597711,14725.565679584182,18530.238425819327
5,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,18.0,18.0,180.0,40935.351017440014,32681.79983830156,19342.29219233835,36702.80199902179
6,600.0,10.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,29.0,29.0,290.0,71568.16242983424,60594.117981384756,49728.61148361591,68148.89242055724
7,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,46.0,46.0,460.0,114307.30224707676,91401.75892491834,77530.03198129048,109212.42684113819
8,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,12.0,12.0,120.0,33194.898261268725,31127.20601626634,28691.779426607656,32524.069135918857
9,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,20.0,20.0,200.0,53140.620031025406,52223.832468210196,53116.01380875282,53140.620031025406
10,600.0,10.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,27.0,27.0,270.0,64483.76585935337,57584.8170287444,53219.24987590153,63636.31177269572
11,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,47.0,47.0,470.0,106329.62848476268,54699.46173709696,28577.468563657094,70700.78290993096
12,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,8.0,8.0,80.0,22468.57894421005,10455.693489112025,8425.397618318711,17503.664829872243
13,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,21.0,21.0,210.0,50984.59150646599,28749.58492668075,19924.66280446989,40245.74630485001
14,600.0,10.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,33.0,33.0,330.0,90364.59444340019,63896.454272738556,39563.711282793396,77860.67407174956
15,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,39.0,39.0,390.0,105411.01213246622,100223.29505577037,98933.42250813398,104914.90749386977
16,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,8.0,8.0,80.0,21709.561100953695,16670.484586824045,18074.28451018607,21216.237799271097
17,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,21.0,21.0,210.0,38741.51949993282,25491.313071406556,19748.081320415866,32614.226197349377
18,600.0,10.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,33.0,33.0,330.0,88664.89453659867,86368.19638293584,83731.96765196833,88316.3626486416
19,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,36.0,36.0,360.0,95099.77350027225,79109.59800413545,69678.73473519586,91628.38082300425
20,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,10.0,10.0,100.0,27513.202246211156,9251.978535075508,6995.715603024833,13478.658008734976
21,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,17.0,17.0,170.0,42260.6696278422,29457.426365018924,25185.78058337034,38034.438532157656
22,600.0,10.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,28.0,28.0,280.0,68649.05197843452,51509.50439739252,39993.150974871365,65122.27735982042
23,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,40.0,40.0,400.0,103198.43747740591,84654.02799495126,62443.53402754792,98814.43380388478
24,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,8.0,8.0,80.0,20345.57689182787,6479.48748651254,1844.226996977408,8595.969659214918
25,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,20.0,20.0,200.0,45553.2616580889,43526.12761724161,42527.984434836915,45194.1211391246
26,600.0,10.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,30.0,30.0,300.0,67916.22232663205,61784.20458429501,55126.35160145764,66403.35281213399
27,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,41.0,41.0,410.0,99300.23195356547,88239.9326876175,75937.56591872172,97040.20832848795
28,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,6.0,6.0,60.0,12808.462201541162,9712.323140783928,7192.288456995887,10969.189444379906
29,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,23.0,23.0,230.0,58921.16875219584,32653.64288365674,20540.39336110083,47722.675056260094
30,600.0,10.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,28.0,28.0,280.0,75070.87526803928,61247.58103433631,42063.010765977364,70288.8322518772
31,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,40.0,40.0,400.0,98162.51793049538,89280.57633990643,90528.78976867025,97828.71216499616
32,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,13.0,13.0,130.0,28930.490448509256,21372.971457048825,15668.930514165197,24384.945480143608
33,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,22.0,22.0,220.0,54728.276548019,50422.814683315824,47794.50119464792,53901.50940528302
34,600.0,10.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,31.0,31.0,310.0,73521.26815685135,52419.68459256954,41696.44288056597,64197.201725289735
35,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,43.0,43.0,430.0,106911.97410552486,89014.30621261412,61380.369764196104,99681.28828825176
36,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,12.0,12.0,120.0,25682.42650290514,20146.211087658354,19044.42337145753,24391.578309931647
37,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,20.0,20.0,200.0,39598.376023909776,35803.54763583861,33266.65140236063,39170.955641928915
38,600.0,10.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,27.0,27.0,270.0,63908.32417045621,43630.42639748875,29161.172739176058,50319.407493191924
39,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,36.0,36.0,360.0,83703.9813494911,83048.85300647776,83662.57033445264,83703.98134949121
40,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,9.0,9.0,90.0,25460.712884065084,20770.724079798063,15567.42796638815,23475.264017272682
41,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,17.0,17.0,170.0,47468.97293015506,40775.04649159187,36203.679934663276,46413.167593042774
42,600.0,10.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,30.0,30.0,300.0,71781.80157447838,35268.66868591954,19970.210586823807,52628.601023776384
43,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,35.0,35.0,350.0,83321.36502512179,60506.500841992005,40630.47422447083,73718.91085743334
44,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,10.0,10.0,100.0,24692.77104926799,19720.188934638398,18621.195384574436,23478.100219497883
45,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,19.0,19.0,190.0,43922.13363630863,29544.12150167343,26517.167919993295,38773.77095648642
46,600.0,10.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,32.0,32.0,320.0,86257.0329562241,75088.26252478245,67971.63977212913,83968.26498825608
47,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,46.0,46.0,460.0,112357.12995559373,110474.86162140328,110984.91704025466,112357.12995559371
48,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,10.0,10.0,100.0,25781.363763891095,24135.79499258174,23369.883351778866,25315.936863087565
49,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,17.0,17.0,170.0,42586.01106186498,41142.28625233795,41674.55051815261,42507.74551803581
50,600.0,10.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,33.0,33.0,330.0,85429.74736479811,73361.43697483392,55324.64471002765,81643.43341758508
51,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,42.0,42.0,420.0,111776.83804404794,102605.91592131465,97111.39692254485,111082.98918138779
52,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,11.0,11.0,110.0,34477.78356359637,8437.157121671691,4457.767084313366,17794.25844260121
53,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,21.0,21.0,210.0,58010.59078080914,50404.506882527494,36238.57677263701,55663.07275840293
54,600.0,10.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,29.0,29.0,290.0,64838.2093548032,44863.66285486039,35667.730982479115,57494.6953762675
55,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,37.0,37.0,370.0,88177.84731634927,56212.60466722211,44468.048463594576,78649.4556681848
56,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,11.0,11.0,110.0,29659.289664082782,20160.48353520325,15767.364392980597,26236.558004675848
57,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,21.0,21.0,210.0,59952.07564987174,43346.56886258474,38531.156689749216,57421.82654908988
58,600.0,10.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,33.0,33.0,330.0,85252.62687135486,82835.98564061143,79839.73209524549,85005.08058116995
59,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,39.0,39.0,390.0,101436.13442158239,82241.78839429212,61708.8884077161,96899.9878991919
60,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,13.0,13.0,130.0,23981.05022591543,23619.512713531396,22145.13971997013,23861.5272643359
61,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,25.0,25.0,250.0,69617.96649346592,56877.20903242229,44101.24049616795,64983.4600722488
62,600.0,10.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,32.0,32.0,320.0,83620.51497322507,61370.536866905844,46848.44492291678,75225.27319485314
63,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,41.0,41.0,410.0,97220.37513656801,92353.28295331373,89518.65994762545,96898.97783106695
64,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,10.0,10.0,100.0,20763.295966924452,14934.364123492198,15088.405163590252,18704.023476975093
65,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,19.0,19.0,190.0,50312.98504682789,29796.71028411037,16696.801642066333,38587.049791645986
66,600.0,10.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,24.0,24.0,240.0,63651.306818579455,27305.396676670174,14797.932281704738,42308.413451025815
67,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,47.0,47.0,470.0,117060.40228503718,113755.11186065135,107075.52576302958,116661.74790479643
68,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,13.0,13.0,130.0,27529.698575126495,27529.698575126502,26088.92030080205,27529.698575126502
69,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,21.0,21.0,210.0,55217.12398479217,44248.17452620443,32143.829598834414,51331.996051467955
70,600.0,10.0,10.0,250.0,60.0,60.0,120.0,60.0,1200.0,10.0,10.0,1.0,109.54451150103323,29.0,29.0,290.0,70217.3001567222,46038.83188384646,37288.39697553866,64928.71359931598
71,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,37.0,37.0,370.0,99346.38418129901,90022.71719838049,82410.464813029,98274.87232800262
72,200.0,10.0,10.0,250.0,20.0,20.0,40.0,20.0,400.0,10.0,10.0,1.0,63.245553203367585,12.0,12.0,120.0,30267.71207701387,19494.78455041922,12720.972734249812,21842.43576058046
73,400.0,10.0,10.0,250.0,40.0,40.0,80.0,40.0,800.0,10.0,10.0,1.0,89.44271909999159,18.0,18.0,180.0,55124.95391487437,50794.62327679673,49947.61858280399,54711.476018005254
